,Gender,Number,POS
best,0.17999999999999997,0.17345454545454547,0.10794871794871792
1000,0.06714285714285714,0.07090909090909092,0.04
10000,0.09714285714285713,0.07563636363636363,0.048205128205128206
100000,0.13214285714285715,0.0905454545454545,0.06461538461538462
200000,0.14214285714285715,0.11818181818181818,0.07692307692307693
300000,0.135,0.13236363636363632,0.07692307692307693
400000,0.04,0.044727272727272734,0.03256410256410257
500000,0.1742857142857143,0.15854545454545454,0.0846153846153846
600000,0.17357142857142854,0.17236363636363633,0.10564102564102565
