,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
hi,0.967709399793296,0.9653323627589905,0.9579888158226239,0.932109392933804,0.8764490577962882,0.8392453749792118,0.8310020417943564,0.831998416291889,0.8231201792162346,0.8188571785248672,0.8227568963201541,0.829808642425969,0.8370649417582474,0.8413965451035323,0.8468340442460249,0.8434612162666759,0.8413656168449645,0.8449987714250228,0.8301910875835564,0.7703225220670951,0.6937255639307086,0.5671392225014905,0.425970633066802,0.22219240509907,0.18072377425473313
eu,0.964188794264364,0.9625011574718969,0.9511017630662184,0.9275373638238491,0.875957035870557,0.8551884289965154,0.8474172733691584,0.8501265140932713,0.8402770795294382,0.8379031462201054,0.8444090058251559,0.8508193399983761,0.8607681233009089,0.8662753119224834,0.8705568830934803,0.8692526643820924,0.8675974843752455,0.8733117199031311,0.8725110707336245,0.8238649413551868,0.7926355537674927,0.7741467054014559,0.720206849123791,0.6698778871296476,0.7071655366641405
ur,0.8469377423963598,0.9247559178348438,0.9215897333636732,0.8931301196647078,0.8312609935926422,0.7927437814510866,0.7809794536959539,0.7831817895930636,0.7744697216196277,0.7726868368359191,0.779024024807336,0.7875110169738749,0.7962040115693259,0.8024059213003029,0.8099442144429464,0.807689033487628,0.8072138650335714,0.8105308512284849,0.8051762228581986,0.7413955717190842,0.6441273228488659,0.47875831967192883,0.31746495542334785,0.15571522053808565,0.08656821828164557
es,0.9503977517254817,0.9651042469503212,0.9576424862725675,0.9417142078962403,0.9116396139090921,0.8956651255651806,0.892008967398862,0.8932154398540776,0.8876324728829639,0.8838965786848023,0.8863425339720796,0.8910479738196768,0.8970103942470977,0.9011648821353829,0.9053476544734752,0.9061352295560708,0.9052327408291932,0.9098192397576444,0.9106822758297146,0.8937400590796887,0.864583954535414,0.8542213851510178,0.8899513684221357,0.8863110987807364,0.9531572073889766
ta,0.9721120125488227,0.9634084852849367,0.9559070260988617,0.9245684990079907,0.8630717135815575,0.8237725617707695,0.7954513054785739,0.7923394602844704,0.7738221157175184,0.7699277144013467,0.7699709885220465,0.772308544397815,0.7778736389899015,0.7814681887567542,0.78461680271362,0.7835275357334138,0.7783831935808669,0.7754158869967839,0.7562549935181889,0.6988800441049873,0.6401113504642928,0.5009031443064469,0.3402482186600902,0.2566513641746125,0.1957653789070893
fr,0.9550247116786774,0.9644709143065313,0.956110852930348,0.940382185073611,0.9082821555556602,0.8927791435727834,0.8895811338139941,0.8919990094474389,0.8878730210705,0.885138574103668,0.8889499467221015,0.8938863941500801,0.8981834316962636,0.9022418492242422,0.9062877532777291,0.9077169051695171,0.9079042360770683,0.9124475815287948,0.9137969171320223,0.8986694842792047,0.8733065392915033,0.8627995570887447,0.8970334083090218,0.894785301287426,0.964025700838541
vi,0.9761929835954438,0.9691888510074255,0.9605064367732224,0.9333724871360756,0.8796708366282086,0.8582475075645926,0.8591599836297354,0.8645661740641821,0.8598356344944946,0.8588630293432719,0.8657370087175679,0.873435926520921,0.8819440180494572,0.8878302414611333,0.8922646784251151,0.8930291114686978,0.8931228901532439,0.8990409700472209,0.9003752455279722,0.8632994893222947,0.7902674268606937,0.7648908772052063,0.7428666026344863,0.6146622444177834,0.5871778275981664
ar,0.7658363021451995,0.8889180488226585,0.8918553390787751,0.8637024001107089,0.7915821298412997,0.7576735278483546,0.7455178704453621,0.744650344867646,0.7442447086351939,0.7504119319683381,0.7637312926749623,0.7826553160937296,0.7875762803115025,0.7998555261523901,0.8122007446744467,0.8158124639450548,0.8157843500013164,0.8199670005562778,0.8224659100523083,0.778212802966606,0.6842587037986546,0.5645416488072613,0.3713910916436414,0.2796640511513877,0.2580146943487063
pt,0.9706033574945152,0.9710334122413389,0.953517133212281,0.9281490742752962,0.8685090847521765,0.8472159956201768,0.8431737608366985,0.8481033717702656,0.8460949178830905,0.8472258137852378,0.852786234994995,0.8633097054155615,0.8733839561238232,0.8806239215637309,0.8874709982323029,0.8897957904851976,0.8897690521447302,0.8943895433255901,0.8964229623105803,0.870996550730334,0.8278465683088871,0.801866100889886,0.8494124092112731,0.8443029526710383,0.9238759917535964
code,0.05677898164822814,0.2007369689508051,0.27748421512796284,0.2931459371839405,0.3201279636045125,0.3303814524008794,0.35129927678188244,0.37358682871302945,0.3925784162640341,0.393041347400929,0.3779246015478236,0.37592223445643647,0.3554677478421498,0.35190184742896735,0.3518748466818377,0.3550974107040258,0.3641306839830927,0.3738198441085325,0.3756396093731332,0.42955416790583,0.5156041854589384,0.5972919312949053,0.6902309210245771,0.7639489288425602,0.9280880543564658
