,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
hi,0.9543124338332138,0.965005997371556,0.9564529064158503,0.9364657484528653,0.9025133202713389,0.8632120547655292,0.8407754459803011,0.8311066648696154,0.8311961808237154,0.8413374030041911,0.8448052742291219,0.8424360476498055,0.8399029618493518,0.8367163446593382,0.8421140008201432,0.8388677341427979,0.8513197550000455,0.852515993224657,0.843778442913904,0.8170623532052632,0.7693950516371019,0.4064345512102559,0.1305531133134223,0.08720136893891606,0.11690534920301635
eu,0.953700766752634,0.9604231274947298,0.9518586789733994,0.9315256239441982,0.8815108453852746,0.8554154755161156,0.8386202671843479,0.8311570291742516,0.8306054889421686,0.8406838368379705,0.8457114320966205,0.8452018525256844,0.8475544178544678,0.8485078649436874,0.849712221104957,0.8392062207256086,0.8547648513276578,0.8480699816539579,0.8287560830055358,0.8192503811188497,0.8309494532069335,0.7833582109194795,0.7794355769371282,0.7260648738671557,0.7461708550151475
ur,0.8014949009272206,0.9049566868784715,0.9045664769346952,0.8847152109943442,0.8395414233039681,0.7930005911991633,0.7639034626729926,0.746321645147422,0.7505386806623635,0.7628445387403469,0.7666919568313508,0.76016063867392,0.7540281783157906,0.7498548263468445,0.7609021460200812,0.7550324021104056,0.7672835359697352,0.7710951827278232,0.7581147882928467,0.7445183046255104,0.7037999333316317,0.37708925751415273,0.06981440932899131,0.04144970801766951,0.12969617079939416
es,0.9362964118726214,0.9580708941433145,0.9526526801649966,0.9396769066603318,0.9178816047331789,0.9022783916921029,0.8968243770553909,0.8922838421280131,0.8932946933437946,0.8977199503491033,0.8989132028699521,0.8993411046431059,0.9000854201202356,0.9012898140204183,0.9038740895428518,0.9033272839998954,0.9132107537452,0.9169488074626451,0.9075049319565008,0.8905443308073371,0.8827508452353782,0.8774051912326856,0.8808474138832078,0.8480234680241485,0.8877425720025007
ta,0.9646941755512214,0.9642605921442614,0.9541008086614754,0.9236345387674134,0.8652544678944293,0.8105077368172601,0.7870406488851366,0.773522059895238,0.7694386338891397,0.7738303640610671,0.7748569704244297,0.7659011237023532,0.7635442169686086,0.7554705101704979,0.7643573035496815,0.7410068436153276,0.7524432293885207,0.7059879411634161,0.6696014635431016,0.6431246705566588,0.57387177710531,0.3507029737238248,0.13844457057598875,0.09414552192519005,0.08810576453985579
fr,0.9425330961478924,0.9580623127969836,0.9488154485906658,0.9353356472627588,0.9131091149889355,0.894395984526233,0.8883421736652066,0.8826322546308547,0.8848279183385594,0.8901847479322633,0.8919935964932263,0.8934398968381042,0.892215872256145,0.8925706171357851,0.8959738099413321,0.8962586692332514,0.9063556591308791,0.9138858559337172,0.9044497449219591,0.9004536147096913,0.8965731889425701,0.8898702720368585,0.8938117278377538,0.8585751382182678,0.894947903886726
vi,0.9685063249353353,0.9685202250222056,0.9534689581102938,0.9358306992793456,0.8963991431334682,0.8728363485386926,0.8648469761460508,0.8597575476848381,0.8631091743532823,0.87176744120337,0.8754764584185764,0.8802410348649343,0.8848824247974646,0.8854650073767917,0.8877063768846203,0.882602166068192,0.8920801071596203,0.9007145374008053,0.8858465135930947,0.8606273642119072,0.8279242039597006,0.6826903580052707,0.7939934674968312,0.8158951700938826,0.8657382286085843
ar,0.6982161385601335,0.8638924823954146,0.8735266971964029,0.853212838331694,0.8047054442762236,0.7548139916511819,0.7395047929482771,0.7363881286527828,0.7414298539821126,0.7562023715743867,0.764178868407631,0.7585181553126741,0.7485479228333876,0.7526321462927522,0.7641872778946645,0.7740805160467443,0.7982610521339455,0.8075714500717257,0.7886461758564116,0.7636177996202992,0.7053973612931446,0.4457802543046772,0.08212624483773469,0.09412453549964918,0.07732963182123158
pt,0.9617700905322011,0.9662143771980036,0.9502933306406508,0.9310291179088485,0.8977787915116441,0.8742378364542771,0.8708416608072417,0.8711309900566251,0.8739217763117785,0.8811254219302995,0.8825676223027031,0.8813073533141038,0.8874830761228711,0.8874124207370206,0.889301228350804,0.8852205358959468,0.8954417045694729,0.9000315312953644,0.8960164688590415,0.8784492200726068,0.8660958797739909,0.8590173935197615,0.8768690939136996,0.862381354024927,0.9021583355954911
code,0.03368976387488615,0.09937053887844342,0.1511177626623502,0.1801496529056022,0.17662954528279373,0.16548094975739314,0.18092489226644148,0.1971615930779969,0.19933118454004736,0.18907229693879737,0.19617088284352607,0.1986160274665614,0.20637793089562087,0.22560084332142324,0.248800974497349,0.27790444755031385,0.30984505046718924,0.33787434833325874,0.3769821519692903,0.41564881752333693,0.44748349886250127,0.5273558872354448,0.8078258540991056,0.8897386492883113,0.9538502559095123
