,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
hi,0.9557293312625524,0.9614325374437369,0.9471460641203299,0.929597712237415,0.9039262893128318,0.876879266047771,0.871394781370524,0.8633675611176883,0.8671423673787708,0.8769879760802705,0.8798213218026215,0.8811792928743735,0.8784784315632826,0.8794594965816788,0.8853911233527045,0.8840471055507779,0.8937899053900413,0.8961296074956875,0.8853723351237043,0.8560644123041528,0.8085490695339717,0.4150019331394182,-0.048022643539825834,-0.019331290028209637,-0.01555141901877482
eu,0.952344695533984,0.9610748868764056,0.9484047199510692,0.9335324537145714,0.9011064934248145,0.8826993592335524,0.8817569286526213,0.8747629363979246,0.877349168838038,0.8861557231526038,0.8886954316283968,0.8887768750913755,0.8887458922991073,0.8900743129670526,0.8934883027811861,0.8857985516351794,0.8968286018219238,0.8884275634107357,0.8732169861445995,0.8675931956570473,0.8681434765743703,0.8424951695473225,0.9105540303614794,0.9363314619204716,0.9572099344594721
ur,0.8082247807719642,0.9070177170658961,0.9046478416351795,0.88862615799567,0.85672597854765,0.8234469075694754,0.8171372159205444,0.8035231847837893,0.8102198767517181,0.8226017170060336,0.8259157705785048,0.8268354201241839,0.8193233213170519,0.8189117227846794,0.8285448857725226,0.827184337419656,0.8382115932530776,0.8436650907420814,0.8360729431531466,0.805438895906873,0.7580021764408043,0.43888094718450366,0.037459229690066966,0.005272678414917349,0.2282142673861359
es,0.9344828841106195,0.9574550903621092,0.9509115742646091,0.9415513702279062,0.9266926547153119,0.9121259369078026,0.9119268716889569,0.9072597128998807,0.9109826755938516,0.915625894293877,0.917608373822985,0.9170078711432659,0.9159479992699057,0.9166426545504526,0.9191096022693814,0.919739797297134,0.9268181734980354,0.9307912307197279,0.925285088738709,0.9139838838809919,0.9057406863865545,0.9234837276508981,0.9754077976092774,0.9873273674841831,0.9963117875232048
ta,0.9637996921457532,0.9611821585760717,0.9464019388799838,0.9250212071069157,0.8900750503830582,0.8586942585323187,0.8551213311045802,0.8443431241448285,0.8450148904431062,0.853723066624417,0.8550656560243064,0.8560317322288464,0.8494184723438126,0.8500780618533282,0.8577856644831603,0.8514597251887623,0.8591164445640452,0.8459752049734305,0.8302980346864018,0.8018402002111347,0.7593201532672356,0.41410171969086484,0.09609327304419836,-0.016303323890152974,0.048555954341656965
fr,0.9406043407625049,0.9596651723287825,0.9490435066145582,0.939369508590004,0.9242326984274074,0.9085579810390941,0.9076393429591121,0.9013498548851272,0.9055822661463719,0.9105599610842307,0.913370236252265,0.9132911188967573,0.9120577603319296,0.9120020712281437,0.9144129771326371,0.9160957171957214,0.923263343210451,0.928473245162399,0.921741826687311,0.9185167489928058,0.9201934433779889,0.9350151003831577,0.9767763644418619,0.9884192706394154,0.9967818874405713
vi,0.967718597465879,0.9661619067569561,0.9500259818929357,0.9367432913809298,0.9087000319645495,0.8908456428264134,0.8915967193211218,0.888258143193062,0.8930673148259652,0.9004508875230206,0.9045057320305914,0.9081176988148959,0.9102037221830068,0.911556322677291,0.9143729792664891,0.9125609272345119,0.9196195045152007,0.9249827961699811,0.9137738492722424,0.8892634817515527,0.8535746747211815,0.7207641173486277,0.8105714099220878,0.8851495734437834,0.9405143067550152
ar,0.6945347204262533,0.8691788791799572,0.8748490614341278,0.8621321216209233,0.829267159725705,0.7959059838506445,0.7958491445268171,0.7908981169709713,0.7995875972805808,0.8130426204986149,0.821856184687254,0.8245340014004889,0.8141708131162474,0.8144663271511687,0.8231910765697541,0.8299442485468073,0.8469310507760922,0.8579480110851948,0.8492493543990322,0.8333632356782527,0.7803904531693515,0.4208439059717203,-0.059670715704378055,-0.06012030538064866,0.10527148139919301
pt,0.9606806646078484,0.9636437303383928,0.9480702273011474,0.9353816506366031,0.9126138060332369,0.8943707739995729,0.8942117898993713,0.893339304700541,0.8990388570902789,0.9053033869495622,0.9087901401649312,0.9091123188143154,0.910441720196813,0.9115635023399662,0.9150813329514256,0.9143770881277065,0.9217251860806555,0.9267868510798881,0.9230981933618004,0.9106087819154547,0.9003894211951822,0.9188883192999904,0.9755589280822979,0.987564875693652,0.9971252370308226
code,0.043646901434440846,0.1879015003181161,0.26679786104636083,0.3074293607684603,0.32926007547459224,0.32754870260937174,0.33282832063510775,0.3402527561535744,0.3389546290983228,0.3329486198816942,0.337071345937196,0.3298435187618723,0.3307907032537872,0.335016674435664,0.34916125460135483,0.36335973243744807,0.38213023403117763,0.3947825932481091,0.415951449358838,0.443394033317079,0.48046969637274245,0.5711138511102584,0.8547803917521933,0.9420057408694669,0.9816267241824012
